"","tweetID","QuestionType","LabelType"
"1",792594930,"R","Ground Truth"
"2",794769014,"E","Ground Truth"
"3",795641561,"P","Ground Truth"
"4",796356615,"C","Ground Truth"
"5",897593264,"P","Ground Truth"
"6",898626957,"P","Ground Truth"
"7",898661469,"P","Ground Truth"
"8",979001618,"R","Ground Truth"
"9",982189118,"C","Ground Truth"
"10",1058835633,"R","Ground Truth"
"11",1062522210,"R","Ground Truth"
"12",1193095392,"R","Predicted"
"13",1215000681,"P","Predicted"
"14",1215002916,"R","Predicted"
"15",1215006757,"E","Predicted"
"16",1215072716,"R","Predicted"
"17",1215322099,"R","Predicted"
"18",1215644369,"E","Ground Truth"
"19",1232278791,"R","Predicted"
"20",1367056393,"C","Predicted"
"21",1372414575,"R","Predicted"
"22",1394369876,"R","Predicted"
"23",1407246269,"R","Predicted"
"24",1407648640,"R","Ground Truth"
"25",1407821306,"E","Predicted"
"26",1407831947,"R","Predicted"
"27",1414220540,"R","Predicted"
"28",1414420837,"R","Predicted"
"29",1415222262,"R","Predicted"
"30",1416656727,"R","Predicted"
"31",1420920968,"E","Predicted"
"32",1421195913,"E","Predicted"
"33",1422080701,"P","Predicted"
"34",1425250823,"R","Predicted"
"35",1426582478,"R","Predicted"
"36",1426776641,"C","Predicted"
"37",1427722541,"R","Predicted"
"38",1428797366,"P","Predicted"
"39",1429952290,"E","Predicted"
"40",1430837635,"R","Ground Truth"
"41",1431481369,"E","Predicted"
"42",1431840644,"P","Predicted"
"43",1432193561,"R","Ground Truth"
"44",1442482088,"E","Ground Truth"
"45",1442493306,"R","Predicted"
"46",1444304145,"P","Predicted"
"47",1445926714,"R","Predicted"
"48",1446325507,"P","Predicted"
"49",1446785515,"R","Predicted"
"50",1446839787,"R","Predicted"
"51",1447091751,"R","Predicted"
"52",1449908441,"R","Predicted"
"53",1449927394,"P","Predicted"
"54",1450236252,"R","Predicted"
"55",1451273803,"R","Predicted"
"56",1452954229,"C","Predicted"
"57",1453275129,"R","Ground Truth"
"58",1453421321,"R","Predicted"
"59",1453849759,"R","Predicted"
"60",1453908497,"R","Predicted"
"61",1453989055,"P","Predicted"
"62",1455196099,"R","Ground Truth"
"63",1455680545,"R","Predicted"
"64",1456676158,"E","Predicted"
"65",1456761115,"R","Predicted"
"66",1457084137,"R","Predicted"
"67",1457089868,"R","Ground Truth"
"68",1457350852,"C","Ground Truth"
"69",1457376707,"R","Predicted"
"70",1457468581,"E","Predicted"
"71",1457769413,"P","Predicted"
"72",1457996732,"R","Predicted"
"73",1458506130,"R","Predicted"
"74",1458536119,"C","Predicted"
"75",1458548810,"C","Predicted"
"76",1458752127,"E","Predicted"
"77",1458781035,"R","Ground Truth"
"78",1459178129,"R","Predicted"
"79",1459738126,"R","Predicted"
"80",1459836063,"E","Predicted"
"81",1460146062,"E","Predicted"
"82",1460210975,"R","Predicted"
"83",1460249096,"P","Predicted"
"84",1460396193,"P","Predicted"
"85",1460462504,"P","Predicted"
"86",1460794981,"P","Predicted"
"87",1461225225,"E","Predicted"
"88",1462451931,"E","Predicted"
"89",1462585186,"R","Predicted"
"90",1462620184,"P","Predicted"
"91",1462687955,"E","Predicted"
"92",1462717133,"E","Predicted"
"93",1462817068,"R","Predicted"
"94",1462837924,"C","Predicted"
"95",1463074143,"C","Ground Truth"
"96",1463180796,"R","Predicted"
"97",1463308472,"R","Predicted"
"98",1463363753,"E","Ground Truth"
"99",1463564874,"E","Predicted"
"100",1463579245,"R","Predicted"
"101",1463589635,"E","Ground Truth"
"102",1463832865,"R","Predicted"
"103",1463879966,"R","Predicted"
"104",1463916163,"R","Predicted"
"105",1464345886,"R","Ground Truth"
"106",1464433014,"R","Predicted"
"107",1464501526,"R","Predicted"
"108",1464578842,"R","Predicted"
"109",1464662462,"E","Predicted"
"110",1464784210,"R","Predicted"
"111",1464847281,"R","Predicted"
"112",1464941345,"R","Predicted"
"113",1465043344,"E","Predicted"
"114",1465043428,"R","Ground Truth"
"115",1465128028,"P","Predicted"
"116",1465176059,"R","Predicted"
"117",1465189894,"E","Ground Truth"
"118",1465195482,"R","Predicted"
"119",1465241299,"P","Predicted"
"120",1465312038,"R","Predicted"
"121",1465326153,"R","Predicted"
"122",1465331031,"P","Predicted"
"123",1465422664,"R","Ground Truth"
"124",1465464307,"R","Ground Truth"
"125",1465487796,"E","Ground Truth"
"126",1465501909,"R","Ground Truth"
"127",1465526677,"R","Predicted"
"128",1465703754,"R","Predicted"
"129",1465838077,"R","Predicted"
